instance,seed,population_size,elite_percentage,mutants_percentage,num_independent_populations,vertices,best_cost,total_iterations,last_update_iteration,total_time,last_update_time,path_relink_time,path_relink_calls,num_improvements_elite,num_improvements_best
anna,298329,200,0.15,0.3,3,138,11,1001,1,97.72,0.09,13.81,5,0,0
anna,394149,200,0.15,0.3,3,138,11,1001,1,93.18,0.08,13.10,5,0,0
anna,492929,200,0.15,0.3,3,138,11,1001,1,93.71,0.09,12.93,5,0,0
anna,593929,200,0.15,0.3,3,138,11,1001,1,93.05,0.08,12.81,5,0,0
david,298329,200,0.15,0.3,3,87,11,1001,1,41.46,0.04,3.79,5,0,0
david,394149,200,0.15,0.3,3,87,11,1001,1,40.62,0.04,3.66,5,0,0
david,492929,200,0.15,0.3,3,87,11,1001,1,44.87,0.05,4.14,5,0,0
david,593929,200,0.15,0.3,3,87,11,1001,1,42.76,0.04,4.00,5,0,0
games120,298329,200,0.15,0.3,3,120,9,1001,1,76.28,0.07,8.14,5,0,0
games120,394149,200,0.15,0.3,3,120,9,1001,1,72.92,0.07,7.94,5,0,0
games120,492929,200,0.15,0.3,3,120,9,1001,1,71.97,0.06,7.61,5,0,0
games120,593929,200,0.15,0.3,3,120,9,1001,1,74.68,0.07,8.41,5,0,0
huck,298329,200,0.15,0.3,3,74,11,1001,1,30.19,0.03,2.16,5,0,0
huck,394149,200,0.15,0.3,3,74,11,1001,1,29.39,0.03,1.98,5,0,0
huck,492929,200,0.15,0.3,3,74,11,1001,1,32.11,0.03,2.25,5,0,0
huck,593929,200,0.15,0.3,3,74,11,1001,1,30.21,0.03,2.07,5,0,0
jean,298329,200,0.15,0.3,3,80,10,1001,1,32.88,0.03,2.42,5,0,0
jean,394149,200,0.15,0.3,3,80,10,1001,1,34.47,0.03,2.67,5,0,0
jean,492929,200,0.15,0.3,3,80,10,1001,1,34.65,0.03,2.53,5,0,0
jean,593929,200,0.15,0.3,3,80,10,1001,1,32.36,0.03,2.29,5,0,0
miles1000,298329,200,0.15,0.3,3,128,42,1001,1,176.09,0.15,25.61,5,0,0
miles1000,394149,200,0.15,0.3,3,128,42,1001,1,172.97,0.15,25.01,5,0,0
miles1000,492929,200,0.15,0.3,3,128,42,1001,1,167.61,0.14,24.40,5,0,0
miles1000,593929,200,0.15,0.3,3,128,42,1001,1,170.81,0.14,24.44,5,0,0
miles1500,298329,200,0.15,0.3,3,128,73,1001,1,319.59,0.27,47.42,5,0,0
miles1500,394149,200,0.15,0.3,3,128,73,1001,1,315.02,0.27,47.24,5,0,0
miles1500,492929,200,0.15,0.3,3,128,73,1001,1,318.52,0.27,47.76,5,0,0
miles1500,593929,200,0.15,0.3,3,128,73,1001,1,309.05,0.26,46.74,5,0,0
miles250,298329,200,0.15,0.3,3,128,8,1001,1,78.74,0.07,10.09,5,0,0
miles250,394149,200,0.15,0.3,3,128,8,1001,1,76.07,0.06,9.93,5,0,0
miles250,492929,200,0.15,0.3,3,128,8,1001,1,77.83,0.07,10.13,5,0,0
miles250,593929,200,0.15,0.3,3,128,8,1001,1,77.69,0.07,10.11,5,0,0
miles500,298329,200,0.15,0.3,3,128,20,1001,1,114.32,0.09,15.68,5,0,0
miles500,394149,200,0.15,0.3,3,128,20,1001,1,128.08,0.11,16.95,5,0,0
miles500,492929,200,0.15,0.3,3,128,20,1001,1,118.57,0.10,16.37,5,0,0
miles500,593929,200,0.15,0.3,3,128,20,1001,1,122.31,0.11,16.23,5,0,0
miles750,298329,200,0.15,0.3,3,128,31,1001,1,151.99,0.14,22.16,5,0,0
miles750,394149,200,0.15,0.3,3,128,31,1001,1,151.93,0.13,21.06,5,0,0
miles750,492929,200,0.15,0.3,3,128,31,1001,1,140.64,0.13,19.32,5,0,0
miles750,593929,200,0.15,0.3,3,128,31,1001,1,138.38,0.11,19.56,5,0,0
mulsol.i.1,298329,200,0.15,0.3,3,197,49,1001,1,324.84,0.26,55.08,5,0,0
mulsol.i.1,394149,200,0.15,0.3,3,197,49,1001,1,308.01,0.27,51.76,5,0,0
mulsol.i.1,492929,200,0.15,0.3,3,197,49,1001,1,300.97,0.24,51.23,5,0,0
mulsol.i.1,593929,200,0.15,0.3,3,197,49,1001,1,322.65,0.28,52.87,5,0,0
mulsol.i.2,298329,200,0.15,0.3,3,188,31,1001,1,255.81,0.22,40.53,5,0,0
mulsol.i.2,394149,200,0.15,0.3,3,188,31,1001,1,274.59,0.22,43.84,5,0,0
mulsol.i.2,492929,200,0.15,0.3,3,188,31,1001,1,260.10,0.21,41.96,5,0,0
mulsol.i.2,593929,200,0.15,0.3,3,188,31,1001,1,263.77,0.25,41.80,5,0,0
mulsol.i.3,298329,200,0.15,0.3,3,184,31,1001,1,239.21,0.20,37.74,5,0,0
mulsol.i.3,394149,200,0.15,0.3,3,184,31,1001,1,243.18,0.20,38.63,5,0,0
mulsol.i.3,492929,200,0.15,0.3,3,184,31,1001,1,249.06,0.21,38.88,5,0,0
mulsol.i.3,593929,200,0.15,0.3,3,184,31,1001,1,247.67,0.22,42.49,5,0,0
mulsol.i.4,298329,200,0.15,0.3,3,185,31,1001,1,254.83,0.20,40.40,5,0,0
mulsol.i.4,394149,200,0.15,0.3,3,185,31,1001,1,267.74,0.23,44.34,5,0,0
mulsol.i.4,492929,200,0.15,0.3,3,185,31,1001,1,262.54,0.23,42.25,5,0,0
mulsol.i.4,593929,200,0.15,0.3,3,185,31,1001,1,273.93,0.23,43.37,5,0,0
mulsol.i.5,298329,200,0.15,0.3,3,186,31,1001,1,253.66,0.22,42.97,5,0,0
mulsol.i.5,394149,200,0.15,0.3,3,186,31,1001,1,254.75,0.21,41.60,5,0,0
mulsol.i.5,492929,200,0.15,0.3,3,186,31,1001,1,274.82,0.22,44.03,5,0,0
mulsol.i.5,593929,200,0.15,0.3,3,186,31,1001,1,246.11,0.21,39.33,5,0,0
myciel3,298329,200,0.15,0.3,3,11,4,1001,1,0.96,0.00,0.01,5,0,0
myciel3,394149,200,0.15,0.3,3,11,4,1001,1,0.91,0.00,0.01,5,0,0
myciel3,492929,200,0.15,0.3,3,11,4,1001,1,0.92,0.00,0.01,5,0,0
myciel3,593929,200,0.15,0.3,3,11,4,1001,1,0.93,0.00,0.01,5,0,0
myciel4,298329,200,0.15,0.3,3,23,5,1001,1,2.65,0.00,0.06,5,0,0
myciel4,394149,200,0.15,0.3,3,23,5,1001,1,2.73,0.00,0.05,5,0,0
myciel4,492929,200,0.15,0.3,3,23,5,1001,1,2.72,0.00,0.05,5,0,0
myciel4,593929,200,0.15,0.3,3,23,5,1001,1,2.68,0.00,0.06,5,0,0
myciel5,298329,200,0.15,0.3,3,47,6,1001,1,10.41,0.01,0.53,5,0,0
myciel5,394149,200,0.15,0.3,3,47,6,1001,1,10.39,0.01,0.45,5,0,0
myciel5,492929,200,0.15,0.3,3,47,6,1001,1,11.63,0.01,0.53,5,0,0
myciel5,593929,200,0.15,0.3,3,47,6,1001,1,10.53,0.01,0.44,5,0,0
myciel6,298329,200,0.15,0.3,3,95,7,1001,1,49.74,0.06,4.41,5,0,0
myciel6,394149,200,0.15,0.3,3,95,7,1001,1,50.56,0.07,4.50,5,0,0
myciel6,492929,200,0.15,0.3,3,95,7,1001,1,49.39,0.04,4.43,5,0,0
myciel6,593929,200,0.15,0.3,3,95,7,1001,1,48.82,0.04,4.03,5,0,0
myciel7,298329,200,0.15,0.3,3,191,8,1001,1,238.58,0.19,41.04,5,0,0
myciel7,394149,200,0.15,0.3,3,191,8,1001,1,235.70,0.19,40.29,5,0,0
myciel7,492929,200,0.15,0.3,3,191,8,1001,1,204.38,0.17,32.56,5,0,0
myciel7,593929,200,0.15,0.3,3,191,8,1001,1,235.74,0.20,37.79,5,0,0
queen11_11,298329,200,0.15,0.3,3,121,14,1017,17,109.30,1.89,14.57,5,2,0
queen11_11,394149,200,0.15,0.3,3,121,14,1139,139,120.95,13.32,14.09,5,1,0
queen11_11,492929,200,0.15,0.3,3,121,14,1023,23,109.49,2.44,14.56,5,2,0
queen11_11,593929,200,0.15,0.3,3,121,14,1020,20,109.01,2.19,14.34,5,2,0
queen13_13,298329,200,0.15,0.3,3,169,17,1001,1,261.93,0.19,48.41,5,1,0
queen13_13,394149,200,0.15,0.3,3,169,17,1004,4,249.06,1.26,45.07,5,1,0
queen13_13,492929,200,0.15,0.3,3,169,17,1001,1,243.21,0.20,43.78,5,1,0
queen13_13,593929,200,0.15,0.3,3,169,17,1006,6,257.66,1.56,46.02,5,1,0
queen5_5,298329,200,0.15,0.3,3,25,5,1001,1,3.44,0.00,0.08,5,0,0
queen5_5,394149,200,0.15,0.3,3,25,5,1001,1,3.47,0.00,0.08,5,0,0
queen5_5,492929,200,0.15,0.3,3,25,5,1001,1,3.60,0.00,0.09,5,0,0
queen5_5,593929,200,0.15,0.3,3,25,5,1001,1,3.64,0.00,0.08,5,0,0
queen6_6,298329,200,0.15,0.3,3,36,7,1016,16,8.10,0.45,0.30,5,1,0
queen6_6,394149,200,0.15,0.3,3,36,7,1142,142,8.50,1.33,0.30,5,2,0
queen6_6,492929,200,0.15,0.3,3,36,7,1015,15,7.20,0.44,0.27,5,1,0
queen6_6,593929,200,0.15,0.3,3,36,7,1368,368,10.09,3.02,0.34,6,2,0
queen7_7,298329,200,0.15,0.3,3,49,7,1472,472,20.24,6.69,0.92,6,2,0
queen7_7,394149,200,0.15,0.3,3,49,7,2100,1100,30.45,16.33,0.85,10,4,1
queen7_7,492929,200,0.15,0.3,3,49,8,1123,123,14.86,1.94,0.20,5,2,0
queen7_7,593929,200,0.15,0.3,3,49,7,2073,1073,27.55,14.62,0.84,10,3,0
queen8_12,298329,200,0.15,0.3,3,96,13,1001,1,69.60,0.06,7.49,5,1,0
queen8_12,394149,200,0.15,0.3,3,96,13,1002,2,69.33,0.47,7.41,5,1,0
queen8_12,492929,200,0.15,0.3,3,96,13,1005,5,74.21,0.67,8.25,5,1,0
queen8_12,593929,200,0.15,0.3,3,96,13,1006,6,73.74,0.75,7.52,5,1,0
queen8_8,298329,200,0.15,0.3,3,64,10,1001,1,28.32,0.03,2.02,5,1,0
queen8_8,394149,200,0.15,0.3,3,64,10,1019,19,29.74,0.85,2.14,5,1,0
queen8_8,492929,200,0.15,0.3,3,64,10,1003,3,27.60,0.41,1.92,5,1,0
queen8_8,593929,200,0.15,0.3,3,64,10,1004,4,29.00,0.44,2.19,5,1,0
queen9_9,298329,200,0.15,0.3,3,81,11,1727,727,82.71,35.31,5.98,8,1,0
queen9_9,394149,200,0.15,0.3,3,81,11,1075,75,51.90,3.81,4.57,5,2,0
queen9_9,492929,200,0.15,0.3,3,81,11,1033,33,50.59,2.00,4.55,5,3,0
queen9_9,593929,200,0.15,0.3,3,81,11,1320,320,64.11,14.87,5.37,6,3,0
zeroin.i.1,298329,200,0.15,0.3,3,211,49,1001,1,393.82,0.34,68.43,5,0,0
zeroin.i.1,394149,200,0.15,0.3,3,211,49,1001,1,438.15,0.27,83.39,5,0,0
zeroin.i.1,492929,200,0.15,0.3,3,211,49,1001,1,469.40,0.38,82.36,5,0,0
zeroin.i.1,593929,200,0.15,0.3,3,211,49,1001,1,475.04,0.38,81.62,5,0,0
zeroin.i.2,298329,200,0.15,0.3,3,211,30,1001,1,342.59,0.32,61.05,5,0,0
zeroin.i.2,394149,200,0.15,0.3,3,211,30,1001,1,265.89,0.21,47.03,5,0,0
zeroin.i.2,492929,200,0.15,0.3,3,211,30,1001,1,291.12,0.25,52.11,5,0,0
zeroin.i.2,593929,200,0.15,0.3,3,211,30,1001,1,259.67,0.22,48.65,5,0,0
zeroin.i.3,298329,200,0.15,0.3,3,206,30,1001,1,249.05,0.20,43.02,5,0,0
zeroin.i.3,394149,200,0.15,0.3,3,206,30,1001,1,273.33,0.22,48.65,5,0,0
zeroin.i.3,492929,200,0.15,0.3,3,206,30,1001,1,265.68,0.20,48.82,5,0,0
zeroin.i.3,593929,200,0.15,0.3,3,206,30,1001,1,358.80,0.28,66.49,5,0,0
